Date,Temperature(Min)
01-01-2017,14.3
01-02-2017,17.4
01-03-2017,18.5
01-04-2017,16.8
01-05-2017,11.5
01-06-2017,9.5
01-07-2017,12.2
01-08-2017,15.7
01-09-2017,16.3
01-10-2017,13.6
01-11-2017,12.6
01-12-2017,13.8
1/13/2017,12.1
1/14/2017,13.4
1/15/2017,17.3
1/16/2017,19.4
1/17/2017,16.6
1/18/2017,13.9
1/19/2017,13.1
1/20/2017,16
1/21/2017,14.5
1/22/2017,15
1/23/2017,12.6
1/24/2017,12.5
1/25/2017,15.2
1/26/2017,16.2
1/27/2017,16.5
1/28/2017,20.1
1/29/2017,20.6
1/30/2017,16.9
1/31/2017,16.5
02-01-2017,16.1
02-02-2017,14.4
02-03-2017,16.3
02-04-2017,15.7
02-05-2017,14.2
02-06-2017,13.2
02-07-2017,16.8
02-08-2017,18.5
02-09-2017,16.7
02-10-2017,15.3
02-11-2017,15.9
02-12-2017,15.2
2/13/2017,17.5
2/14/2017,18.3
2/15/2017,19.4
2/16/2017,19.4
2/17/2017,19.5
2/18/2017,20.5
2/19/2017,15.7
2/20/2017,15
2/21/2017,16.1
2/22/2017,14.3
2/23/2017,13
2/24/2017,16.2
2/25/2017,17.7
2/26/2017,13.2
2/27/2017,15.8
2/28/2017,18.5
03-01-2017,20.4
03-02-2017,22
03-03-2017,19.7
03-04-2017,19.6
03-05-2017,20.3
03-06-2017,18.3
03-07-2017,18.9
03-08-2017,20.3
03-09-2017,21.4
03-10-2017,18.3
03-11-2017,17.8
03-12-2017,17.7
3/13/2017,12.8
3/14/2017,15.1
3/15/2017,15
3/16/2017,14.8
3/17/2017,12
3/18/2017,12.5
3/19/2017,15
3/20/2017,17.1
3/21/2017,17.3
3/22/2017,16.9
3/23/2017,16.5
3/24/2017,13.6
3/25/2017,13.2
3/26/2017,9.4
3/27/2017,9.5
3/28/2017,11.8
3/29/2017,10.4
3/30/2017,9.7
3/31/2017,12.6
04-01-2017,13.3
04-02-2017,15.1
04-03-2017,14.2
04-04-2017,14.2
04-05-2017,19.2
04-06-2017,12.6
04-07-2017,14.2
04-08-2017,11.9
04-09-2017,13.9
04-10-2017,13.5
04-11-2017,15.3
04-12-2017,13.9
4/13/2017,14
4/14/2017,12.9
4/15/2017,8.5
4/16/2017,11.4
4/17/2017,10.9
4/18/2017,12
4/19/2017,8.6
4/20/2017,9
4/21/2017,9.6
4/22/2017,10.2
4/23/2017,9.8
4/24/2017,8.3
4/25/2017,11
4/26/2017,11.9
4/27/2017,14
4/28/2017,15.8
4/29/2017,14.5
4/30/2017,13.2
05-01-2017,14.2
05-02-2017,14.6
05-03-2017,11.8
05-04-2017,14.4
05-05-2017,10.4
05-06-2017,10.3
05-07-2017,10.8
05-08-2017,10.5
05-09-2017,9.5
05-10-2017,12.5
05-11-2017,13.7
05-12-2017,12.7
5/13/2017,11.9
5/14/2017,11.4
5/15/2017,9.7
5/16/2017,8.3
5/17/2017,8.1
5/18/2017,11.7
5/19/2017,11.6
5/20/2017,7.4
5/21/2017,5.2
5/22/2017,11
5/23/2017,9.5
5/24/2017,9.2
5/25/2017,10.7
5/26/2017,9
5/27/2017,10.2
5/28/2017,10.3
5/29/2017,12.1
5/30/2017,13.2
5/31/2017,6.6
06-01-2017,2.3
06-02-2017,1.4
06-03-2017,2.1
06-04-2017,6.6
06-05-2017,8.9
06-06-2017,7.8
06-07-2017,9
06-08-2017,10.3
06-09-2017,7.9
06-10-2017,7.2
06-11-2017,8.6
06-12-2017,8.8
6/13/2017,6.2
6/14/2017,9.5
6/15/2017,10.2
6/16/2017,9.7
6/17/2017,11.2
6/18/2017,10.2
6/19/2017,10.1
6/20/2017,8.1
6/21/2017,6.6
6/22/2017,5
6/23/2017,4.7
6/24/2017,5.3
6/25/2017,4.5
6/26/2017,2.3
6/27/2017,1.4
6/28/2017,0.5
6/29/2017,2.4
6/30/2017,8
07-01-2017,6
07-02-2017,7.1
07-03-2017,9.7
07-04-2017,6.9
07-05-2017,5.3
07-06-2017,7
07-07-2017,6.2
07-08-2017,7
07-09-2017,9.7
07-10-2017,8
07-11-2017,8.5
07-12-2017,7.1
7/13/2017,7.5
7/14/2017,3.3
7/15/2017,1.8
7/16/2017,2.6
7/17/2017,5.3
7/18/2017,5.8
7/19/2017,5.8
7/20/2017,7.2
7/21/2017,5.3
7/22/2017,1.6
7/23/2017,3.1
7/24/2017,5.3
7/25/2017,7.7
7/26/2017,4.2
7/27/2017,5.5
7/28/2017,9
7/29/2017,11.2
7/30/2017,8
7/31/2017,7.6
08-01-2017,3.7
08-02-2017,7.5
08-03-2017,8.1
08-04-2017,8.4
08-05-2017,7.1
08-06-2017,7.6
08-07-2017,7.6
08-08-2017,5.6
08-09-2017,7
08-10-2017,10.5
08-11-2017,7.3
08-12-2017,7.8
8/13/2017,5.8
8/14/2017,3.8
8/15/2017,5.8
8/16/2017,6.7
8/17/2017,6.6
8/18/2017,6.6
8/19/2017,9
8/20/2017,8.1
8/21/2017,5.1
8/22/2017,8.6
8/23/2017,7
8/24/2017,5.5
8/25/2017,7.4
8/26/2017,6.2
8/27/2017,4.2
8/28/2017,6.3
8/29/2017,7
8/30/2017,4
8/31/2017,8
09-01-2017,8.8
09-02-2017,8.8
09-03-2017,6.1
09-04-2017,8.6
09-05-2017,8.9
09-06-2017,7.8
09-07-2017,5
09-08-2017,7
09-09-2017,13.3
09-10-2017,7.9
09-11-2017,7.5
09-12-2017,8.3
9/13/2017,7.2
9/14/2017,6.5
9/15/2017,8.9
9/16/2017,7.4
9/17/2017,9.9
9/18/2017,9.3
9/19/2017,10.6
9/20/2017,8.6
9/21/2017,7.2
9/22/2017,12.6
9/23/2017,7.8
9/24/2017,6.3
9/25/2017,9.2
9/26/2017,5.8
9/27/2017,9
9/28/2017,5
9/29/2017,11.9
9/30/2017,13.4
10-01-2017,10.5
10-02-2017,6.2
10-03-2017,5.1
10-04-2017,9.5
10-05-2017,11.7
10-06-2017,9.2
10-07-2017,7.3
10-08-2017,9.7
10-09-2017,9.4
10-10-2017,10
10-11-2017,10.9
10-12-2017,11
10/13/2017,10.9
10/14/2017,8
10/15/2017,11.2
10/16/2017,7.5
10/17/2017,7.2
10/18/2017,13.2
10/19/2017,12.9
10/20/2017,9.4
10/21/2017,10.2
10/22/2017,9.5
10/23/2017,12.4
10/24/2017,10.2
10/25/2017,13.4
10/26/2017,11.6
10/27/2017,8
10/28/2017,9
10/29/2017,9.3
10/30/2017,13.5
10/31/2017,8
11-01-2017,8.1
11-02-2017,10
11-03-2017,8.5
11-04-2017,12.5
11-05-2017,15
11-06-2017,13.3
11-07-2017,11
11-08-2017,11.9
11-09-2017,8.3
11-10-2017,9.7
11-11-2017,11.3
11-12-2017,12.5
11/13/2017,9.4
11/14/2017,11.4
11/15/2017,13.2
11/16/2017,13.8
11/17/2017,16
11/18/2017,10.9
11/19/2017,11.9
11/20/2017,12.4
11/21/2017,13.2
11/22/2017,15.5
11/23/2017,21.6
11/24/2017,14.9
11/25/2017,14.4
11/26/2017,12.9
11/27/2017,13.1
11/28/2017,14
11/29/2017,17.9
11/30/2017,17.7
12-01-2017,16.3
12-02-2017,18.3
12-03-2017,13.7
12-04-2017,13.3
12-05-2017,10.6
12-06-2017,14.1
12-07-2017,16
12-08-2017,16.5
12-09-2017,14.1
12-10-2017,18.7
12-11-2017,16.2
12-12-2017,14.8
12/13/2017,12.6
12/14/2017,10.4
12/15/2017,12.2
12/16/2017,12.6
12/17/2017,12.1
12/18/2017,17.3
12/19/2017,16.4
12/20/2017,12.6
12/21/2017,12.3
12/22/2017,11.8
12/23/2017,12
12/24/2017,12.7
12/25/2017,16.4
12/26/2017,16
12/27/2017,13.3
12/28/2017,11.7
12/29/2017,10.4
12/30/2017,14.4
12/31/2017,12.7
01-01-2018,14.8
01-02-2018,13.3
01-03-2018,15.6
01-04-2018,14.5
01-05-2018,14.3
01-06-2018,15.3
01-07-2018,16.4
01-08-2018,14.8
01-09-2018,17.4
01-10-2018,18.8
01-11-2018,22.1
01-12-2018,19
1/13/2018,15.5
1/14/2018,15.8
1/15/2018,14.7
1/16/2018,10.7
1/17/2018,11.5
1/18/2018,15
1/19/2018,14.5
1/20/2018,14.5
1/21/2018,13.3
1/22/2018,14.3
1/23/2018,14.3
1/24/2018,20.5
1/25/2018,15
1/26/2018,17.1
1/27/2018,16.9
1/28/2018,16.9
1/29/2018,13.6
1/30/2018,16.4
1/31/2018,16.1
02-01-2018,12
02-02-2018,12.2
02-03-2018,14.8
02-04-2018,14.8
02-05-2018,14.4
02-06-2018,12.9
02-07-2018,13.4
02-08-2018,15.9
02-09-2018,16.1
02-10-2018,17.6
02-11-2018,15.6
02-12-2018,15
2/13/2018,13
2/14/2018,14.1
2/15/2018,17.3
2/16/2018,15.7
2/17/2018,18.6
2/18/2018,12.7
2/19/2018,14
2/20/2018,13.7
2/21/2018,16.3
2/22/2018,20
2/23/2018,17
2/24/2018,15.2
2/25/2018,16.5
2/26/2018,16.5
2/27/2018,17.3
2/28/2018,19.1
03-01-2018,19.3
03-02-2018,17.3
03-03-2018,19
03-04-2018,19.8
03-05-2018,19.3
03-06-2018,17.2
03-07-2018,14.2
03-08-2018,10.3
03-09-2018,13
03-10-2018,15.3
03-11-2018,15
03-12-2018,12.1
3/13/2018,9.2
3/14/2018,11
3/15/2018,15
3/16/2018,11.6
3/17/2018,11.6
3/18/2018,15.1
3/19/2018,15
3/20/2018,13.6
3/21/2018,12.5
3/22/2018,14.3
3/23/2018,16
3/24/2018,17.4
3/25/2018,16.9
3/26/2018,18
3/27/2018,20.6
3/28/2018,14.2
3/29/2018,10.9
3/30/2018,11.9
3/31/2018,13.3
04-01-2018,15.3
04-02-2018,14.7
04-03-2018,11
04-04-2018,12.2
04-05-2018,14.2
04-06-2018,17
04-07-2018,15.8
04-08-2018,15.2
04-09-2018,15.1
04-10-2018,14.7
04-11-2018,18.5
04-12-2018,16.4
4/13/2018,18.4
4/14/2018,15.1
4/15/2018,9.9
4/16/2018,10.2
4/17/2018,12.6
4/18/2018,13.2
4/19/2018,11.5
4/20/2018,13.8
4/21/2018,14.5
4/22/2018,14.7
4/23/2018,11.2
4/24/2018,12.7
4/25/2018,13.7
4/26/2018,11.5
4/27/2018,10.4
4/28/2018,8.9
4/29/2018,11.1
4/30/2018,9.5
05-01-2018,13
05-02-2018,13.9
05-03-2018,12.6
05-04-2018,14.3
05-05-2018,16
05-06-2018,13.3
05-07-2018,7
05-08-2018,4.9
05-09-2018,6.9
05-10-2018,13.7
05-11-2018,10.6
05-12-2018,12.3
5/13/2018,11.1
5/14/2018,10.2
5/15/2018,9.5
5/16/2018,8.9
5/17/2018,13.4
5/18/2018,9.1
5/19/2018,9.4
5/20/2018,8.7
5/21/2018,5.8
5/22/2018,4.5
5/23/2018,7.2
5/24/2018,10
5/25/2018,10.5
5/26/2018,10.7
5/27/2018,8.2
5/28/2018,6.1
5/29/2018,4.5
5/30/2018,6.1
5/31/2018,9.8
06-01-2018,9.7
06-02-2018,8.2
06-03-2018,8.4
06-04-2018,8.5
06-05-2018,10.4
06-06-2018,6.8
06-07-2018,6
06-08-2018,6.6
06-09-2018,7.8
06-10-2018,10.3
06-11-2018,7.2
06-12-2018,7.4
6/13/2018,11.4
6/14/2018,5.4
6/15/2018,4.4
6/16/2018,6.4
6/17/2018,9.3
6/18/2018,7.7
6/19/2018,8.1
6/20/2018,8.3
6/21/2018,9.1
6/22/2018,7.7
6/23/2018,10.6
6/24/2018,8.2
6/25/2018,7.9
6/26/2018,5.2
6/27/2018,5.9
6/28/2018,3.7
6/29/2018,5.6
6/30/2018,9.4
07-01-2018,7.4
07-02-2018,7.3
07-03-2018,7.7
07-04-2018,7.7
07-05-2018,9.3
07-06-2018,4.4
07-07-2018,5.7
07-08-2018,10.2
07-09-2018,10.2
07-10-2018,9.3
07-11-2018,5.4
07-12-2018,5
7/13/2018,7.6
7/14/2018,9.6
7/15/2018,10.4
7/16/2018,11.2
7/17/2018,9.1
7/18/2018,11.2
7/19/2018,6.8
7/20/2018,8.3
7/21/2018,9.7
7/22/2018,9.6
7/23/2018,9.8
7/24/2018,10.8
7/25/2018,9.2
7/26/2018,6.5
7/27/2018,8.1
7/28/2018,7.3
7/29/2018,7.9
7/30/2018,6
7/31/2018,5
08-01-2018,6.8
08-02-2018,9.8
08-03-2018,5.7
08-04-2018,8.6
08-05-2018,10.6
08-06-2018,7.8
08-07-2018,7.7
08-08-2018,8.6
08-09-2018,6.5
08-10-2018,6.9
08-11-2018,6.4
08-12-2018,8.5
8/13/2018,7.8
8/14/2018,9.3
8/15/2018,8.4
8/16/2018,7.8
8/17/2018,7.4
8/18/2018,7.7
8/19/2018,8.9
8/20/2018,9.7
8/21/2018,9.9
8/22/2018,6.1
8/23/2018,6.6
8/24/2018,7.6
8/25/2018,7.4
8/26/2018,8
8/27/2018,2.1
8/28/2018,5.9
8/29/2018,11.6
8/30/2018,8.6
8/31/2018,7.9
09-01-2018,6
09-02-2018,9.5
09-03-2018,8.6
09-04-2018,7.6
09-05-2018,10.4
09-06-2018,10.3
09-07-2018,7.5
09-08-2018,3
09-09-2018,5.3
09-10-2018,10.5
09-11-2018,14.6
09-12-2018,12.6
9/13/2018,9.8
9/14/2018,7.2
9/15/2018,10.1
9/16/2018,10.4
9/17/2018,3.7
9/18/2018,7.3
9/19/2018,11.6
9/20/2018,16.3
9/21/2018,9.6
9/22/2018,6.8
9/23/2018,5.2
9/24/2018,10.6
9/25/2018,16.3
9/26/2018,9.8
9/27/2018,4.6
9/28/2018,11.1
9/29/2018,8.7
9/30/2018,10
10-01-2018,11.3
10-02-2018,10.5
10-03-2018,9.9
10-04-2018,11
10-05-2018,14
10-06-2018,9.2
10-07-2018,9.8
10-08-2018,6
10-09-2018,9.8
10-10-2018,9.2
10-11-2018,11.8
10-12-2018,10.3
10/13/2018,7.5
10/14/2018,7.7
10/15/2018,15.8
10/16/2018,14.6
10/17/2018,10.5
10/18/2018,11.3
10/19/2018,10.9
10/20/2018,6.4
10/21/2018,10.9
10/22/2018,9
10/23/2018,10.9
10/24/2018,12.4
10/25/2018,11.6
10/26/2018,13.3
10/27/2018,14.4
10/28/2018,18.4
10/29/2018,13.6
10/30/2018,14.9
10/31/2018,14.8
11-01-2018,15.4
11-02-2018,11.8
11-03-2018,13
11-04-2018,11.1
11-05-2018,12.5
11-06-2018,18.3
11-07-2018,19.2
11-08-2018,15.4
11-09-2018,13.1
11-10-2018,11.5
11-11-2018,8.6
11-12-2018,12.6
11/13/2018,13.8
11/14/2018,14.6
11/15/2018,13.2
11/16/2018,12.3
11/17/2018,8.8
11/18/2018,10.7
11/19/2018,9.9
11/20/2018,8.3
11/21/2018,15
11/22/2018,12.2
11/23/2018,10.5
11/24/2018,11.1
11/25/2018,13
11/26/2018,12.9
11/27/2018,8.8
11/28/2018,14.7
11/29/2018,14.7
11/30/2018,12.7
12-01-2018,13.3
12-02-2018,13.2
12-03-2018,16.2
12-04-2018,17.3
12-05-2018,20.5
12-06-2018,20.2
12-07-2018,19.4
12-08-2018,15.5
12-09-2018,14.1
12-10-2018,11
12-11-2018,11.1
12-12-2018,14
12/13/2018,11.4
12/14/2018,12.5
12/15/2018,13.4
12/16/2018,13.6
12/17/2018,13.9
12/18/2018,17.2
12/19/2018,14.7
12/20/2018,15.4
12/21/2018,13.1
12/22/2018,13.2
12/23/2018,13.9
12/24/2018,10
12/25/2018,12.9
12/26/2018,14.6
12/27/2018,14
12/28/2018,13.6
12/29/2018,13.5
12/30/2018,15.7
12/31/2018,13
